id,scale,region,locality,supply,population,bidding_units,opening_price,expected_value,sd_value_narrow,sd_value_wide,is_high_demand,,,,,,,,,,
74,national,ME,4,10,25237061,27000,135000000,402307319,12224855,134102440,1,,,,,,,,,,
75,national,FW,2,5,19410169,20000,100000000,399669136,7136570,133223045,1,,,,,,,,,,
76,national,GL,1,10,9366713,9900,49500000,169846681,4085876,56615560,1,,,,,,,,,,
77,national,FW,3,10,9027937,9500,47500000,154402447,4691805,51467482,1,,,,,,,,,,
78,national,ME,1,8,7842134,8300,41500000,123075800,1821996,41025267,1,,,,,,,,,,
79,national,ME,9,9,7587252,8000,40000000,118786554,2121076,39595518,1,,,,,,,,,,
80,national,NE,1,10,6776035,7100,35500000,98455764,2061680,32818588,1,,,,,,,,,,
81,national,SW,12,10,6452472,6800,34000000,74356715,1100766,24785572,1,,,,,,,,,,
82,national,SE,9,10,6291880,6600,33000000,60433180,1453796,20144393,1,,,,,,,,,,
83,national,SW,13,10,5891999,6200,31000000,83917897,1242308,27972632,1,,,,,,,,,,
84,national,SE,15,10,5435312,5700,28500000,65916239,1380297,21972080,1,,,,,,,,,,
85,national,GL,10,10,5137479,5400,27000000,64054864,1946426,21351621,1,,,,,,,,,,
86,national,SE,10,10,4562642,4800,24000000,44783705,1218340,14927902,1,,,,,,,,,,
87,national,GL,15,9,4096678,1900,9500000,40264072,1223498,13421357,1,,,,,,,,,,
88,national,GL,15,1,4096678,1900,9500000,40687904,978799,13562635,1,,,,,,,,,,
89,national,SW,2,8,3817117,4000,20000000,42807410,1029786,14269137,1,,,,,,,,,,
90,national,FW,8,10,3792218,4000,20000000,40187491,966761,13395830,1,,,,,,,,,,
91,national,P,11,10,3390091,3600,18000000,32905443,587566,10968481,1,,,,,,,,,,
92,national,FW,2,4,3095313,3300,16500000,37945235,912821,12648412,1,,,,,,,,,,
93,national,FW,6,10,3022643,2500,12500000,25252960,687006,8417653,1,,,,,,,,,,
94,national,RM,2,10,2789669,2300,11500000,25162213,764601,8387404,1,,,,,,,,,,
95,national,SE,11,10,2783243,2900,14500000,28639211,511387,9546404,1,,,,,,,,,,
96,national,FW,3,10,2722415,2200,11000000,22232121,675564,7410707,1,,,,,,,,,,
97,national,ME,10,10,2399667,1300,6500000,17802726,484323,5934242,1,,,,,,,,,,
98,national,P,16,10,2396938,2000,10000000,19394012,406114,6464671,1,,,,,,,,,,
99,national,GL,16,10,2196428,1500,7500000,15156179,364601,5052060,1,,,,,,,,,,
100,national,FW,5,10,2151455,1800,9000000,18654984,276166,6218328,1,,,,,,,,,,
101,national,RM,8,10,2142152,1800,9000000,18692166,333771,6230722,1,,,,,,,,,,
102,national,SW,14,10,1999689,1600,8000000,23758774,721955,7919591,1,,,,,,,,,,
103,national,SE,12,10,1918264,1300,6500000,13600610,284799,4533537,1,,,,,,,,,,
104,national,P,17,10,1810075,1500,7500000,12936008,351924,4312003,1,,,,,,,,,,
105,national,GL,6,10,1769011,1500,7500000,13328646,197315,4442882,1,,,,,,,,,,
106,national,SE,46,10,1748445,1200,6000000,11275810,342636,3758603,1,,,,,,,,,,
107,national,SE,38,10,1698835,1400,7000000,10643000,323407,3547667,1,,,,,,,,,,
108,national,FW,2,10,1676476,920,4600000,10892761,161255,3630920,1,,,,,,,,,,
109,national,SW,14,10,1628809,1700,8500000,19992497,356990,6664166,1,,,,,,,,,,
110,national,SE,25,10,1622143,740,3700000,9279848,137378,3093283,1,,,,,,,,,,
111,national,GL,17,10,1582917,1100,5500000,12729972,306236,4243324,1,,,,,,,,,,
112,national,GL,18,10,1555908,1600,8000000,20987119,504872,6995706,1,,,,,,,,,,
113,national,SW,11,10,1446527,1500,7500000,17856172,318843,5952057,1,,,,,,,,,,
114,national,SE,1,10,1399686,770,3850000,7681379,208972,2560460,1,,,,,,,,,,
115,national,ME,5,8,1371959,310,1550000,6850386,208162,2283462,0,,,,,,,,,,
116,national,FW,4,10,1360301,500,2500000,9957663,177806,3319221,0,,,,,,,,,,
117,national,SE,34,10,1327006,1100,5500000,12521057,301210,4173686,0,,,,,,,,,,
118,national,ME,5,8,1316146,480,2400000,6987627,212332,2329209,0,,,,,,,,,,
119,national,SE,35,10,1302381,720,3600000,9333718,138175,3111239,0,,,,,,,,,,
120,national,SE,6,10,1275690,470,2350000,6054755,126788,2018252,0,,,,,,,,,,
121,national,SW,15,4,1264091,290,1450000,7023942,125421,2341314,0,,,,,,,,,,
122,national,ME,9,8,1244058,210,1050000,6913236,144764,2304412,0,,,,,,,,,,
123,national,ME,6,10,1222542,280,1400000,6005746,182496,2001915,0,,,,,,,,,,
124,national,SE,42,9,1220968,360,1800000,4788167,115185,1596056,0,,,,,,,,,,
125,national,SE,22,10,1194260,660,3300000,6646152,98389,2215384,0,,,,,,,,,,
126,national,SE,52,10,1191822,200,1000000,3823123,56597,1274374,0,,,,,,,,,,
127,national,SW,2,4,1159029,530,2650000,5991848,125470,1997283,0,,,,,,,,,,
128,national,ME,5,8,1135509,190,950000,8137676,145308,2712559,0,,,,,,,,,,
129,national,SE,2,10,1105409,500,2500000,5064726,137786,1688242,0,,,,,,,,,,
130,national,GL,11,10,1095827,400,2000000,4930889,149834,1643630,0,,,,,,,,,,
131,national,SE,48,10,1080661,490,2450000,5094227,154797,1698076,0,,,,,,,,,,
